postcode,,,postcode_space,ua_name,installation_count,ev_count,panel_count,battery_add_on,battery_storage_capacity_kw,pv_installed_capacity_kw
BS324HQ,BS32,4HQ,BS32 4HQ,South Gloucestershire Council,SolarPanels,1,15,1,7,6.23
BS149JE,BS14,9JE,BS14 9JE,Bristol City Council,SolarPanels,1,6,1,7,2.49
BA14NS,BA1,4NS,BA1 4NS,Bath and North East Somerset Council,SolarPanels,,10,1,5,4.15
GL128TW,GL12,8TW,GL12 8TW,South Gloucestershire Council,SolarPanels,,20,0,,8.30
BS78SX,BS7,8SX,BS7 8SX,Bristol City Council,SolarPanels,,6,1,5,2.49
SN148HF,SN14,8HF,SN14 8HF,South Gloucestershire Council,SolarPanels,,12,1,7,4.98
BS351AE,BS35,1AE,BS35 1AE,South Gloucestershire Council,SolarPanels,,12,1,7,4.98
BS395PG,BS39,5PG,BS39 5PG,Bath and North East Somerset Council,SolarPanels,,6,1,5,2.49
BS43NG,BS4,3NG,BS4 3NG,Bristol City Council,SolarPanels,,6,1,5,2.49
BA17AB,BA1,7AB,BA1 7AB,Bath and North East Somerset Council,SolarPanels,,14,1,12,5.81
BS166TT,BS16,6TT,BS16 6TT,South Gloucestershire Council,SolarPanels,,15,1,7,6.23
BS43RE,BS4,3RE,BS4 3RE,Bristol City Council,SolarPanels,,6,1,5,2.49
BA20EU,BA2,0EU,BA2 0EU,Bath and North East Somerset Council,SolarPanels,1,8,1,5,3.32
BS79RB,BS7,9RB,BS7 9RB,Bristol City Council,SolarPanels,,10,1,7,4.15
BS137HT,BS13,7HT,BS13 7HT,Bristol City Council,SolarPanels,,16,1,5,6.64
BS67YL,BS6,7YL,BS6 7YL,Bristol City Council,SolarPanels,,5,1,5,2.08
BS494NE,BS49,4NE,BS49 4NE,North Somerset Council,SolarPanels,,8,1,5,3.32
BS328AS,BS32,8AS,BS32 8AS,South Gloucestershire Council,SolarPanels,,10,1,7,4.15
BS307XF,BS30,7XF,BS30 7XF,South Gloucestershire Council,SolarPanels,,10,1,7,4.15
BS161EP,BS16,1EP,BS16 1EP,Bristol City Council,SolarPanels,,10,1,7,4.15
BS484YU,BS48,4YU,BS48 4YU,North Somerset Council,RetroFitBattery,,0,1,5,0.00
BS362BE,BS36,2BE,BS36 2BE,South Gloucestershire Council,RetroFitBattery,,0,1,12,0.00
BA20AL,BA2,0AL,BA2 0AL,Bath and North East Somerset Council,SolarPanels,,11,1,7,4.57
BS362TS,BS36,2TS,BS36 2TS,South Gloucestershire Council,SolarPanels,,15,1,7,6.23
BS251LJ,BS25,1LJ,BS25 1LJ,North Somerset Council,SolarPanels,,10,1,7,4.15
BS361DZ,BS36,1DZ,BS36 1DZ,South Gloucestershire Council,SolarPanels,,7,1,7,2.91
BS58BH,BS5,8BH,BS5 8BH,Bristol City Council,SolarPanels,,9,1,5,3.74
BS159QB,BS15,9QB,BS15 9QB,South Gloucestershire Council,SolarPanels,,16,1,7,6.64
BS70HE,BS7,0HE,BS7 0HE,Bristol City Council,RetroFitBattery,,0,1,5,0.00
BS79LN,BS7,9LN,BS7 9LN,Bristol City Council,SolarPanels,,8,1,5,3.32
BS67YF,BS6,7YF,BS6 7YF,Bristol City Council,SolarPanels,,6,1,5,2.49
BS249JW,BS24,9JW,BS24 9JW,North Somerset Council,SolarPanels,,12,1,5,4.98
BS251BP,BS25,1BP,BS25 1BP,North Somerset Council,SolarPanels,,16,1,7,6.64
BS355SE,BS35,5SE,BS35 5SE,South Gloucestershire Council,SolarPanels,,16,1,7,6.64
BS376HN,BS37,6HN,BS37 6HN,South Gloucestershire Council,SolarPanels,,8,1,5,3.32
BS207RR,BS20,7RR,BS20 7RR,North Somerset Council,SolarPanels,,17,1,7,7.06
BA17ES,BA1,7ES,BA1 7ES,Bath and North East Somerset Council,SolarPanels,,6,1,5,2.49
BS164SG,BS16,4SG,BS16 4SG,South Gloucestershire Council,SolarPanels,,8,1,5,3.32
BS362DE,BS36,2DE,BS36 2DE,South Gloucestershire Council,SolarPanels,,16,1,5,6.64
BS483HZ,BS48,3HZ,BS48 3HZ,North Somerset Council,SolarPanels,,12,1,7,4.98
BS255AF,BS25,5AF,BS25 5AF,North Somerset Council,SolarPanels,,12,1,7,4.98
BS56XS,BS5,6XS,BS5 6XS,Bristol City Council,SolarPanels,,12,1,7,4.98
BS345NY,BS34,5NY,BS34 5NY,South Gloucestershire Council,SolarPanels,,10,1,12,4.15
BS481SS,BS48,1SS,BS48 1SS,North Somerset Council,SolarPanels,,14,1,7,5.81
BS79AA,BS7,9AA,BS7 9AA,Bristol City Council,SolarPanels,,7,1,7,2.91
BS377UT,BS37,7UT,BS37 7UT,South Gloucestershire Council,SolarPanels,,10,1,5,4.15
BS153TH,BS15,3TH,BS15 3TH,South Gloucestershire Council,SolarPanels,,8,1,7,3.32
BS248AA,BS24,8AA,BS24 8AA,North Somerset Council,SolarPanels,,11,1,7,4.57
BS396TP,BS39,6TP,BS39 6TP,Bath and North East Somerset Council,SolarPanels,1,14,1,7,5.81
BS169PS,BS16,9PS,BS16 9PS,South Gloucestershire Council,SolarPanels,,12,1,7,4.98
BS251JH,BS25,1JH,BS25 1JH,North Somerset Council,SolarPanels,,18,1,12,7.47
BS361PZ,BS36,1PZ,BS36 1PZ,South Gloucestershire Council,SolarPanels,,16,1,7,6.64
BA21AR,BA2,1AR,BA2 1AR,Bath and North East Somerset Council,SolarPanels,,8,1,5,3.32
BS78QH,BS7,8QH,BS7 8QH,Bristol City Council,SolarPanels,,10,1,7,4.15
BS376HX,BS37,6HX,BS37 6HX,South Gloucestershire Council,RetroFitBattery,,0,1,5,0.00
BS65UD,BS6,5UD,BS6 5UD,Bristol City Council,RetroFitBattery,,0,1,7,0.00
BS216AN,BS21,6AN,BS21 6AN,North Somerset Council,SolarPanels,,8,1,5,3.32
BS229TS,BS22,9TS,BS22 9TS,North Somerset Council,SolarPanels,,18,1,7,7.47
BS208LS,BS20,8LS,BS20 8LS,North Somerset Council,SolarPanels,,11,1,7,4.57
BS251EF,BS25,1EF,BS25 1EF,North Somerset Council,SolarPanels,,8,1,5,3.32
BS82JT,BS8,2JT,BS8 2JT,Bristol City Council,SolarPanels,,8,0,,3.32
BS345RH,BS34,5RH,BS34 5RH,South Gloucestershire Council,RetroFitBattery,,0,1,7,0.00
BS309SN,BS30,9SN,BS30 9SN,South Gloucestershire Council,SolarPanels,,10,1,7,4.15
BS166EU,BS16,6EU,BS16 6EU,South Gloucestershire Council,SolarPanels,,12,1,7,4.98
BS67LD,BS6,7LD,BS6 7LD,Bristol City Council,SolarPanels,,5,1,5,2.08
BS45DA,BS4,5DA,BS4 5DA,Bristol City Council,SolarPanels,,12,0,,4.98
BS200QB,BS20,0QB,BS20 0QB,North Somerset Council,SolarPanels,,10,1,7,4.15
BS226RB,BS22,6RB,BS22 6RB,North Somerset Council,SolarPanels,,16,1,7,6.64
BS227XJ,BS22,7XJ,BS22 7XJ,North Somerset Council,SolarPanels,,8,1,5,3.32
BA22AY,BA2,2AY,BA2 2AY,Bath and North East Somerset Council,SolarPanels,,5,1,7,2.08
BS92LN,BS9,2LN,BS9 2LN,Bristol City Council,SolarPanels,,12,1,7,4.98
BS353UE,BS35,3UE,BS35 3UE,South Gloucestershire Council,RetroFitBattery,,0,1,7,0.00
BS161QJ,BS16,1QJ,BS16 1QJ,South Gloucestershire Council,SolarPanels,,12,1,5,4.98
BS169LN,BS16,9LN,BS16 9LN,South Gloucestershire Council,SolarPanels,,8,1,5,3.32
BS374HU,BS37,4HU,BS37 4HU,South Gloucestershire Council,SolarPanels,,8,1,5,3.32
BS348UH,BS34,8UH,BS34 8UH,South Gloucestershire Council,SolarPanels,,14,1,7,5.81
BS167ER,BS16,7ER,BS16 7ER,South Gloucestershire Council,SolarPanels,,7,1,5,2.91
BS167DX,BS16,7DX,BS16 7DX,South Gloucestershire Council,SolarPanels,,12,1,7,4.98
BS163LQ,BS16,3LQ,BS16 3LQ,Bristol City Council,RetroFitBattery,,0,1,12,0.00
BS217TU,BS21,7TU,BS21 7TU,North Somerset Council,SolarPanels,1,9,1,5,3.74
BA17JZ,BA1,7JZ,BA1 7JZ,Bath and North East Somerset Council,SolarPanels,,8,1,5,3.32
BS167BG,BS16,7BG,BS16 7BG,South Gloucestershire Council,SolarPanels,,6,1,5,2.49
BA28DT,BA2,8DT,BA2 8DT,Bath and North East Somerset Council,SolarPanels,,8,1,5,3.32
BS137QF,BS13,7QF,BS13 7QF,Bristol City Council,RetroFitBattery,,0,1,14,0.00
BS362AX,BS36,2AX,BS36 2AX,South Gloucestershire Council,SolarPanels,,7,1,7,2.91
BS169NE,BS16,9NE,BS16 9NE,South Gloucestershire Council,SolarPanels,,8,1,5,3.32
BS405HD,BS40,5HD,BS40 5HD,North Somerset Council,SolarPanels,,12,1,7,4.98
BS377RU,BS37,7RU,BS37 7RU,South Gloucestershire Council,SolarPanels,,12,1,5,4.98
BS255SB,BS25,5SB,BS25 5SB,North Somerset Council,RetroFitBattery,1,0,1,7,0.00
BS227US,BS22,7US,BS22 7US,North Somerset Council,SolarPanels,,10,1,5,4.15
BS494BE,BS49,4BE,BS49 4BE,North Somerset Council,SolarPanels,,8,1,7,3.32
BS494HP,BS49,4HP,BS49 4HP,North Somerset Council,SolarPanels,,10,1,5,4.15
BS232NG,BS23,2NG,BS23 2NG,North Somerset Council,SolarPanels,1,20,1,12,8.30
BS494AS,BS49,4AS,BS49 4AS,North Somerset Council,SolarPanels,,10,1,7,4.15
BS248PH,BS24,8PH,BS24 8PH,North Somerset Council,SolarPanels,,12,1,7,4.98
BS228BP,BS22,8BP,BS22 8BP,North Somerset Council,SolarPanels,1,7,1,5,2.91
BS483QE,BS48,3QE,BS48 3QE,North Somerset Council,SolarPanels,,17,1,12,7.06
BS312EU,BS31,2EU,BS31 2EU,Bath and North East Somerset Council,RetroFitBattery,,0,1,3,0.00
BS70AD,BS7,0AD,BS7 0AD,Bristol City Council,SolarPanels,,12,1,5,4.98
BS482LQ,BS48,2LQ,BS48 2LQ,North Somerset Council,SolarPanels,,9,1,7,3.74
BS249JF,BS24,9JF,BS24 9JF,North Somerset Council,SolarPanels,,8,1,7,3.32
BS296AJ,BS29,6AJ,BS29 6AJ,North Somerset Council,SolarPanels,,12,1,7,4.98
BS247EQ,BS24,7EQ,BS24 7EQ,North Somerset Council,SolarPanels,,6,1,5,2.49
BS151TN,BS15,1TN,BS15 1TN,South Gloucestershire Council,SolarPanels,,7,1,5,2.91
BS207EH,BS20,7EH,BS20 7EH,North Somerset Council,SolarPanels,1,8,1,12,3.32
BS419ND,BS41,9ND,BS41 9ND,North Somerset Council,SolarPanels,,8,1,5,3.32
BS208DT,BS20,8DT,BS20 8DT,North Somerset Council,SolarPanels,,16,1,12,6.64
BS166BX,BS16,6BX,BS16 6BX,South Gloucestershire Council,SolarPanels,,10,1,7,4.15
BS65AL,BS6,5AL,BS6 5AL,Bristol City Council,SolarPanels,,4,1,5,1.66
BS482NB,BS48,2NB,BS48 2NB,North Somerset Council,SolarPanels,,16,1,7,6.64
BA14DP,BA1,4DP,BA1 4DP,Bath and North East Somerset Council,SolarPanels,,14,1,7,5.81
BS91LS,BS9,1LS,BS9 1LS,Bristol City Council,SolarPanels,,12,1,5,4.98
BS483NT,BS48,3NT,BS48 3NT,North Somerset Council,SolarPanels,,12,1,7,4.98
BS229UG,BS22,9UG,BS22 9UG,North Somerset Council,SolarPanels,,6,1,7,2.49
BS376JR,BS37,6JR,BS37 6JR,South Gloucestershire Council,RetroFitBattery,,0,1,14,0.00
BS91AJ,BS9,1AJ,BS9 1AJ,Bristol City Council,SolarPanels,,14,1,7,5.81
BS313LF,BS31,3LF,BS31 3LF,Bath and North East Somerset Council,SolarPanels,,8,1,5,3.32
GL128TB,GL12,8TB,GL12 8TB,South Gloucestershire Council,SolarPanels,,9,1,7,3.74
BA17RD,BA1,7RD,BA1 7RD,Bath and North East Somerset Council,SolarPanels,,5,1,5,2.08
BS67XG,BS6,7XG,BS6 7XG,Bristol City Council,SolarPanels,,6,1,7,2.49
BS494HR,BS49,4HR,BS49 4HR,North Somerset Council,SolarPanels,1,10,1,5,4.15
BS483HH,BS48,3HH,BS48 3HH,North Somerset Council,SolarPanels,,16,1,12,6.64
BA27AQ,BA2,7AQ,BA2 7AQ,Bath and North East Somerset Council,SolarPanels,,14,1,7,5.81
BS248AA,BS24,8AA,BS24 8AA,North Somerset Council,RetroFitBattery,,0,1,5,0.00
BS484YL,BS48,4YL,BS48 4YL,North Somerset Council,SolarPanels,,10,1,7,4.15
BS166EA,BS16,6EA,BS16 6EA,South Gloucestershire Council,SolarPanels,,6,1,5,2.49
BS348NU,BS34,8NU,BS34 8NU,South Gloucestershire Council,SolarPanels,,6,1,5,2.49
BS84RE,BS8,4RE,BS8 4RE,Bristol City Council,SolarPanels,,12,1,5,4.98
BS251BA,BS25,1BA,BS25 1BA,North Somerset Council,SolarPanels,,11,1,7,4.57
BS296AJ,BS29,6AJ,BS29 6AJ,North Somerset Council,SolarPanels,,14,1,7,5.81
BS419DL,BS41,9DL,BS41 9DL,North Somerset Council,RetroFitBattery,,0,1,5,0.00
BS394EJ,BS39,4EJ,BS39 4EJ,Bath and North East Somerset Council,SolarPanels,,16,1,7,6.64
BS228LB,BS22,8LB,BS22 8LB,North Somerset Council,SolarPanels,,6,1,5,2.49
BS481BB,BS48,1BB,BS48 1BB,North Somerset Council,SolarPanels,,10,1,5,4.15
BA33EQ,BA3,3EQ,BA3 3EQ,Bath and North East Somerset Council,SolarPanels,,7,1,5,2.91
BA28NF,BA2,8NF,BA2 8NF,Bath and North East Somerset Council,SolarPanels,,7,1,7,2.91
BS483LF,BS48,3LF,BS48 3LF,North Somerset Council,SolarPanels,1,8,1,5,3.32
BS248DN,BS24,8DN,BS24 8DN,North Somerset Council,SolarPanels,,10,1,5,4.15
BA16NG,BA1,6NG,BA1 6NG,Bath and North East Somerset Council,SolarPanels,,12,1,7,4.98
BS419JQ,BS41,9JQ,BS41 9JQ,North Somerset Council,SolarPanels,,7,1,5,2.91
BA13HR,BA1,3HR,BA1 3HR,Bath and North East Somerset Council,SolarPanels,,4,1,5,1.66
BA24NE,BA2,4NE,BA2 4NE,Bath and North East Somerset Council,SolarPanels,,8,1,7,3.32
BA13LJ,BA1,3LJ,BA1 3LJ,Bath and North East Somerset Council,SolarPanels,,6,1,7,2.49
BA22DF,BA2,2DF,BA2 2DF,Bath and North East Somerset Council,SolarPanels,,7,1,7,2.91
BS311QE,BS31,1QE,BS31 1QE,Bath and North East Somerset Council,SolarPanels,,7,1,7,2.91
BS251BJ,BS25,1BJ,BS25 1BJ,North Somerset Council,SolarPanels,,20,1,7,8.30
BA17BN,BA1,7BN,BA1 7BN,Bath and North East Somerset Council,SolarPanels,,10,1,7,4.15
BS351LT,BS35,1LT,BS35 1LT,South Gloucestershire Council,SolarPanels,,12,1,5,4.98
BS78JN,BS7,8JN,BS7 8JN,Bristol City Council,RetroFitBattery,,0,1,5,0.00
BA32DN,BA3,2DN,BA3 2DN,Bath and North East Somerset Council,SolarPanels,,8,1,5,3.32
BS405NH,BS40,5NH,BS40 5NH,North Somerset Council,SolarPanels,,12,1,5,4.98
BS313HL,BS31,3HL,BS31 3HL,Bath and North East Somerset Council,SolarPanels,,10,1,7,4.15
BA33QN,BA3,3QN,BA3 3QN,Bath and North East Somerset Council,RetroFitBattery,1,0,1,7,0.00
BS78NA,BS7,8NA,BS7 8NA,Bristol City Council,SolarPanels,,10,1,5,4.15
BS166HF,BS16,6HF,BS16 6HF,South Gloucestershire Council,SolarPanels,1,11,1,7,4.57
BS93TT,BS9,3TT,BS9 3TT,Bristol City Council,SolarPanels,1,4,1,7,1.66
BS165NA,BS16,5NA,BS16 5NA,South Gloucestershire Council,SolarPanels,,20,1,12,8.30
BS42RF,BS4,2RF,BS4 2RF,Bristol City Council,SolarPanels,,5,1,7,2.08
BS93LQ,BS9,3LQ,BS9 3LQ,Bristol City Council,SolarPanels,,8,1,5,3.32
BS311PP,BS31,1PP,BS31 1PP,Bath and North East Somerset Council,RetroFitBattery,1,0,1,7,0.00
BA22QU,BA2,2QU,BA2 2QU,Bath and North East Somerset Council,RetroFitBattery,,0,1,5,0.00
BS93PS,BS9,3PS,BS9 3PS,Bristol City Council,SolarPanels,,8,1,7,3.32
BS67RL,BS6,7RL,BS6 7RL,Bristol City Council,SolarPanels,1,7,1,7,2.91
BS91JX,BS9,1JX,BS9 1JX,Bristol City Council,RetroFitBattery,,0,1,7,0.00
BA25QN,BA2,5QN,BA2 5QN,Bath and North East Somerset Council,SolarPanels,,10,0,,4.15
BS215LB,BS21,5LB,BS21 5LB,North Somerset Council,SolarPanels,,14,1,7,5.81
BS311QB,BS31,1QB,BS31 1QB,Bath and North East Somerset Council,SolarPanels,,8,1,5,3.32
BS94EG,BS9,4EG,BS9 4EG,Bristol City Council,RetroFitBattery,,0,1,12,0.00
BS166NQ,BS16,6NQ,BS16 6NQ,South Gloucestershire Council,SolarPanels,1,14,1,7,5.81
BS376NL,BS37,6NL,BS37 6NL,South Gloucestershire Council,SolarPanels,,9,1,7,3.74
BS94EG,BS9,4EG,BS9 4EG,Bristol City Council,SolarPanels,,14,1,5,5.81
BS376NU,BS37,6NU,BS37 6NU,South Gloucestershire Council,RetroFitBattery,,0,1,7,0.00
BS208LU,BS20,8LU,BS20 8LU,North Somerset Council,SolarPanels,,10,0,,4.15
BS161JN,BS16,1JN,BS16 1JN,Bristol City Council,SolarPanels,1,16,0,,6.64
BA16JX,BA1,6JX,BA1 6JX,Bath and North East Somerset Council,SolarPanels,,5,1,5,2.08
BA32PR,BA3,2PR,BA3 2PR,Bath and North East Somerset Council,SolarPanels,,7,1,5,2.91
BS352HY,BS35,2HY,BS35 2HY,South Gloucestershire Council,SolarPanels,,10,1,5,4.15
BS161YP,BS16,1YP,BS16 1YP,South Gloucestershire Council,SolarPanels,,24,1,12,9.96
BA23QH,BA2,3QH,BA2 3QH,Bath and North East Somerset Council,SolarPanels,,9,1,5,3.74
BS31LE,BS3,1LE,BS3 1LE,Bristol City Council,SolarPanels,,8,1,5,3.32
BA22AG,BA2,2AG,BA2 2AG,Bath and North East Somerset Council,SolarPanels,,14,1,5,5.81
BS308YF,BS30,8YF,BS30 8YF,South Gloucestershire Council,SolarPanels,1,16,1,7,6.64
BA17PL,BA1,7PL,BA1 7PL,Bath and North East Somerset Council,SolarPanels,,14,1,7,5.81
BS405HT,BS40,5HT,BS40 5HT,North Somerset Council,RetroFitBattery,,0,1,5,0.00
BS78SN,BS7,8SN,BS7 8SN,Bristol City Council,SolarPanels,,11,1,7,4.57
BS232NY,BS23,2NY,BS23 2NY,North Somerset Council,SolarPanels,,10,1,7,4.15
BS207LU,BS20,7LU,BS20 7LU,North Somerset Council,SolarPanels,,12,1,5,4.98
BS216TY,BS21,6TY,BS21 6TY,North Somerset Council,SolarPanels,,10,1,7,4.15
BS206DT,BS20,6DT,BS20 6DT,North Somerset Council,SolarPanels,,10,1,7,4.15
BS67UU,BS6,7UU,BS6 7UU,Bristol City Council,SolarPanels,,10,0,,4.15
BS92RN,BS9,2RN,BS9 2RN,Bristol City Council,RetroFitBattery,,14,1,12,0.00
BS93PL,BS9,3PL,BS9 3PL,Bristol City Council,SolarPanels,,6,1,5,2.49
BS394LD,BS39,4LD,BS39 4LD,Bath and North East Somerset Council,SolarPanels,,8,1,7,3.32
BS207NJ,BS20,7NJ,BS20 7NJ,North Somerset Council,SolarPanels,,16,1,7,6.64
BS320EW,BS32,0EW,BS32 0EW,South Gloucestershire Council,SolarPanels,,20,1,7,8.30
BS207RT,BS20,7RT,BS20 7RT,North Somerset Council,SolarPanels,,14,1,12,5.81
BS206ND,BS20,6ND,BS20 6ND,North Somerset Council,SolarPanels,,15,1,7,6.23
BS208DP,BS20,8DP,BS20 8DP,North Somerset Council,RetroFitBattery,,0,1,12,0.00
BA25DU,BA2,5DU,BA2 5DU,Bath and North East Somerset Council,SolarPanels,,8,1,5,3.32
BS348RP,BS34,8RP,BS34 8RP,South Gloucestershire Council,SolarPanels,,10,1,7,4.15
BS352XD,BS35,2XD,BS35 2XD,South Gloucestershire Council,SolarPanels,,14,1,7,5.81
BA13ES,BA1,3ES,BA1 3ES,Bath and North East Somerset Council,SolarPanels,,8,1,5,3.32
BS313LA,BS31,3LA,BS31 3LA,Bath and North East Somerset Council,SolarPanels,,12,1,5,4.98
BS311GQ,BS31,1GQ,BS31 1GQ,Bath and North East Somerset Council,SolarPanels,,10,1,7,4.15
BS312FR,BS31,2FR,BS31 2FR,Bath and North East Somerset Council,SolarPanels,,14,1,7,5.81
BS229BX,BS22,9BX,BS22 9BX,North Somerset Council,SolarPanels,,10,0,,4.15
BS495HA,BS49,5HA,BS49 5HA,North Somerset Council,SolarPanels,,8,1,5,3.32
BS78JQ,BS7,8JQ,BS7 8JQ,Bristol City Council,SolarPanels,1,12,1,12,4.98
BS311BX,BS31,1BX,BS31 1BX,Bath and North East Somerset Council,SolarPanels,,4,1,5,1.66
BA19DN,BA1,9DN,BA1 9DN,Bath and North East Somerset Council,SolarPanels,1,10,1,7,4.15
BS376HW,BS37,6HW,BS37 6HW,South Gloucestershire Council,SolarPanels,,0,1,7,0.00
BS481TD,BS48,1TD,BS48 1TD,North Somerset Council,SolarPanels,,6,1,5,2.49
BS311AF,BS31,1AF,BS31 1AF,Bath and North East Somerset Council,SolarPanels,,13,1,7,5.40
BS106LZ,BS10,6LZ,BS10 6LZ,Bristol City Council,SolarPanels,,6,1,5,2.49
BS92DB,BS9,2DB,BS9 2DB,Bristol City Council,SolarPanels,,6,1,7,2.49
BS78RB,BS7,8RB,BS7 8RB,Bristol City Council,SolarPanels,1,8,1,5,3.32
BS91RE,BS9,1RE,BS9 1RE,Bristol City Council,SolarPanels,,10,1,7,4.15
BS42DP,BS4,2DP,BS4 2DP,Bristol City Council,SolarPanels,,8,1,7,3.32
BS78EF,BS7,8EF,BS7 8EF,Bristol City Council,SolarPanels,,6,1,5,2.49
BS91RZ,BS9,1RZ,BS9 1RZ,Bristol City Council,SolarPanels,,12,1,7,4.98
BS484BT,BS48,4BT,BS48 4BT,North Somerset Council,SolarPanels,,14,1,7,5.81
BS78LH,BS7,8LH,BS7 8LH,Bristol City Council,SolarPanels,,10,1,7,4.15
BA26HB,BA2,6HB,BA2 6HB,Bath and North East Somerset Council,SolarPanels,,16,1,7,6.64
BS161SA,BS16,1SA,BS16 1SA,South Gloucestershire Council,SolarPanels,,10,1,12,4.15
BS351LL,BS35,1LL,BS35 1LL,South Gloucestershire Council,SolarPanels,,12,1,7,4.98
GL128PJ,GL12,8PJ,GL12 8PJ,South Gloucestershire Council,SolarPanels,,13,1,7,5.40
BA16JL,BA1,6JL,BA1 6JL,Bath and North East Somerset Council,SolarPanels,,11,1,12,4.57
BA17TE,BA1,7TE,BA1 7TE,Bath and North East Somerset Council,SolarPanels,,10,1,7,4.15
BS92BE,BS9,2BE,BS9 2BE,Bristol City Council,RetroFitBattery,,0,1,7,0.00
BS405QP,BS40,5QP,BS40 5QP,North Somerset Council,SolarPanels,,11,1,7,4.57
BS107XQ,BS10,7XQ,BS10 7XQ,Bristol City Council,SolarPanels,,10,1,5,4.15
BA20EL,BA2,0EL,BA2 0EL,Bath and North East Somerset Council,SolarPanels,,10,1,5,4.15
BS92RY,BS9,2RY,BS9 2RY,Bristol City Council,SolarPanels,,8,1,5,3.32
BS78HL,BS7,8HL,BS7 8HL,Bristol City Council,SolarPanels,,8,1,5,3.32
BS251AY,BS25,1AY,BS25 1AY,North Somerset Council,SolarPanels,,8,1,5,3.32
BS94NS,BS9,4NS,BS9 4NS,Bristol City Council,SolarPanels,,7,1,5,2.91
BS481LW,BS48,1LW,BS48 1LW,North Somerset Council,SolarPanels,,16,1,12,6.64
BS355QX,BS35,5QX,BS35 5QX,South Gloucestershire Council,SolarPanels,,11,1,7,4.57
BS494JX,BS49,4JX,BS49 4JX,North Somerset Council,SolarPanels,,8,1,7,3.32
BS362HU,BS36,2HU,BS36 2HU,South Gloucestershire Council,SolarPanels,,8,1,5,3.32
BS311FN,BS31,1FN,BS31 1FN,Bath and North East Somerset Council,SolarPanels,,14,1,7,5.81
BA26QN,BA2,6QN,BA2 6QN,Bath and North East Somerset Council,SolarPanels,,7,1,7,2.91
BS66AJ,BS6,6AJ,BS6 6AJ,Bristol City Council,RetroFitBattery,1,0,1,5,0.00
BS481US,BS48,1US,BS48 1US,North Somerset Council,SolarPanels,,10,1,12,4.15
BA18DB,BA1,8DB,BA1 8DB,Bath and North East Somerset Council,SolarPanels,,15,1,7,6.23
BS67NH,BS6,7NH,BS6 7NH,Bristol City Council,RetroFitBattery,,0,1,5,0.00
BS92PA,BS9,2PA,BS9 2PA,Bristol City Council,SolarPanels,,8,1,7,3.32
BS311JR,BS31,1JR,BS31 1JR,Bath and North East Somerset Council,SolarPanels,,13,1,7,5.40
BS208JZ,BS20,8JZ,BS20 8JZ,North Somerset Council,SolarPanels,,10,1,7,4.15
BS165RQ,BS16,5RQ,BS16 5RQ,South Gloucestershire Council,SolarPanels,,14,1,7,5.81
BA28LR,BA2,8LR,BA2 8LR,Bath and North East Somerset Council,SolarPanels,,11,0,,4.57
BA17PU,BA1,7PU,BA1 7PU,Bath and North East Somerset Council,SolarPanels,1,12,1,7,4.98
BS137BT,BS13,7BT,BS13 7BT,Bristol City Council,RetroFitBattery,,0,1,7,0.00
BA13NP,BA1,3NP,BA1 3NP,Bath and North East Somerset Council,RetroFitBattery,,0,1,12,0.00
BS92RL,BS9,2RL,BS9 2RL,Bristol City Council,SolarPanels,,8,0,,3.32
BS229TS,BS22,9TS,BS22 9TS,North Somerset Council,SolarPanels,,12,1,7,4.98
BS328DQ,BS32,8DQ,BS32 8DQ,South Gloucestershire Council,SolarPanels,,11,1,5,4.57
BS167TA,BS16,7TA,BS16 7TA,South Gloucestershire Council,SolarPanels,,12,1,7,4.98
BA16BB,BA1,6BB,BA1 6BB,Bath and North East Somerset Council,SolarPanels,,8,1,12,3.32
BS361RH,BS36,1RH,BS36 1RH,South Gloucestershire Council,SolarPanels,1,12,1,7,4.98
BS328EB,BS32,8EB,BS32 8EB,South Gloucestershire Council,SolarPanels,,9,1,5,3.74
BA14HS,BA1,4HS,BA1 4HS,Bath and North East Somerset Council,SolarPanels,,6,1,5,2.49
BS227QN,BS22,7QN,BS22 7QN,North Somerset Council,SolarPanels,,20,1,7,8.30
BS249XB,BS24,9XB,BS24 9XB,North Somerset Council,SolarPanels,,6,1,5,2.49
BS67XQ,BS6,7XQ,BS6 7XQ,Bristol City Council,RetroFitBattery,,0,1,7,0.00
BS70TJ,BS7,0TJ,BS7 0TJ,South Gloucestershire Council,RetroFitBattery,,0,1,5,0.00
BS483BN,BS48,3BN,BS48 3BN,North Somerset Council,RetroFitBattery,,0,1,5,0.00
BS35DQ,BS3,5DQ,BS3 5DQ,Bristol City Council,RetroFitBattery,,0,1,5,0.00
BS35DH,BS3,5DH,BS3 5DH,Bristol City Council,SolarPanels,,8,1,7,3.32
BS346HQ,BS34,6HQ,BS34 6HQ,South Gloucestershire Council,SolarPanels,,6,1,5,2.49
BS374HY,BS37,4HY,BS37 4HY,South Gloucestershire Council,SolarPanels,,12,1,7,4.98
BS377EY,BS37,7EY,BS37 7EY,South Gloucestershire Council,RetroFitBattery,,0,1,7,0.00
BS347NG,BS34,7NG,BS34 7NG,South Gloucestershire Council,SolarPanels,1,5,1,7,2.08
BS207QX,BS20,7QX,BS20 7QX,North Somerset Council,SolarPanels,,8,0,,3.32
BS348PQ,BS34,8PQ,BS34 8PQ,South Gloucestershire Council,SolarPanels,,12,1,7,4.98
