postcode,,,postcode_space,ua_name,installation_count,ev_count,panel_count,battery_add_on,battery_storage_capacity_kw,pv_installed_capacity_kw
BS227SP,BS22,7SP,BS22 7SP,North Somerset Council,SolarPanels,,16,1,5,6.64
BS313EN,BS31,3EN,BS31 3EN,Bath and North East Somerset Council,SolarPanels,,15,1,12,6.23
BS405RN,BS40,5RN,BS40 5RN,North Somerset Council,SolarPanels,,10,1,12,4.15
BS161QJ,BS16,1QJ,BS16 1QJ,South Gloucestershire Council,SolarPanels,,15,1,12,6.23
BS217UA,BS21,7UA,BS21 7UA,North Somerset Council,RetroFitBattery,,0,1,7,0.00
BS208HQ,BS20,8HQ,BS20 8HQ,North Somerset Council,RetroFitBattery,,0,1,7,0.00
BS207FL,BS20,7FL,BS20 7FL,North Somerset Council,SolarPanels,1,8,1,7,3.32
BS483QF,BS48,3QF,BS48 3QF,North Somerset Council,SolarPanels,,16,1,12,6.64
BS105AS,BS10,5AS,BS10 5AS,Bristol City Council,SolarPanels,,12,0,,4.98
BS361BZ,BS36,1BZ,BS36 1BZ,South Gloucestershire Council,SolarPanels,,6,0,,2.49
BS377LF,BS37,7LF,BS37 7LF,South Gloucestershire Council,SolarPanels,,9,1,12,3.74
BS251AB,BS25,1AB,BS25 1AB,North Somerset Council,SolarPanels,,8,1,5,3.32
BS251LJ,BS25,1LJ,BS25 1LJ,North Somerset Council,SolarPanels,,16,1,7,6.64
BS14RJ,BS1,4RJ,BS1 4RJ,Bristol City Council,RetroFitBattery,,0,1,14,0.00
BS84QQ,BS8,4QQ,BS8 4QQ,Bristol City Council,SolarPanels,,8,1,7,3.32
BS419DQ,BS41,9DQ,BS41 9DQ,North Somerset Council,SolarPanels,,16,1,5,6.64
BS78LJ,BS7,8LJ,BS7 8LJ,Bristol City Council,SolarPanels,,6,1,5,2.49
BS494EB,BS49,4EB,BS49 4EB,North Somerset Council,RetroFitBattery,,0,1,7,0.00
BS79PJ,BS7,9PJ,BS7 9PJ,Bristol City Council,RetroFitBattery,,0,1,5,0.00
BS56JR,BS5,6JR,BS5 6JR,Bristol City Council,RetroFitBattery,,0,1,7,0.00
